LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
826,United Kingdom,2055,14-Oct,10,5,1993.385,1899.119,3892.504
840,United States of America,2055,14-Oct,10,5,10748.537,10285.441,21033.978
826,United Kingdom,2056,14-Oct,10,5,2002.599,1908.249,3910.848
840,United States of America,2056,14-Oct,10,5,10769.189,10309.528,21078.717
826,United Kingdom,2057,14-Oct,10,5,2008.003,1913.616,3921.619
840,United States of America,2057,14-Oct,10,5,10779.953,10322.169,21102.122
826,United Kingdom,2058,14-Oct,10,5,2009.655,1915.243,3924.898
840,United States of America,2058,14-Oct,10,5,10779.848,10321.769,21101.617
826,United Kingdom,2059,14-Oct,10,5,2007.967,1913.468,3921.435
840,United States of America,2059,14-Oct,10,5,10770.449,10309.875,21080.324
826,United Kingdom,2060,14-Oct,10,5,2003.499,1908.765,3912.264
840,United States of America,2060,14-Oct,10,5,10756.371,10291.667,21048.038
826,United Kingdom,2061,14-Oct,10,5,2005.495,1911.034,3916.529
840,United States of America,2061,14-Oct,10,5,10796.858,10334.721,21131.579
826,United Kingdom,2062,14-Oct,10,5,2004.237,1910.081,3914.318
840,United States of America,2062,14-Oct,10,5,10829.75,10368.583,21198.333
826,United Kingdom,2063,14-Oct,10,5,1999.773,1905.893,3905.666
840,United States of America,2063,14-Oct,10,5,10852.702,10390.327,21243.029
826,United Kingdom,2064,14-Oct,10,5,1992.64,1898.919,3891.559
840,United States of America,2064,14-Oct,10,5,10865.447,10399.769,21265.216
826,United Kingdom,2065,14-Oct,10,5,1983.733,1889.973,3873.706
840,United States of America,2065,14-Oct,10,5,10871.234,10400.886,21272.12
826,United Kingdom,2066,14-Oct,10,5,1982.923,1889.615,3872.538
840,United States of America,2066,14-Oct,10,5,10931.548,10462.688,21394.236
826,United Kingdom,2067,14-Oct,10,5,1980.084,1887.201,3867.285
840,United States of America,2067,14-Oct,10,5,10980.988,10512.138,21493.126
826,United Kingdom,2068,14-Oct,10,5,1975.03,1882.46,3857.49
840,United States of America,2068,14-Oct,10,5,11017.137,10546.551,21563.688
826,United Kingdom,2069,14-Oct,10,5,1967.905,1875.47,3843.375
840,United States of America,2069,14-Oct,10,5,11038.651,10564.761,21603.412
826,United Kingdom,2070,14-Oct,10,5,1959.363,1866.853,3826.216
840,United States of America,2070,14-Oct,10,5,11047.061,10568.836,21615.897
826,United Kingdom,2071,14-Oct,10,5,1959.6,1867.526,3827.126
840,United States of America,2071,14-Oct,10,5,11105.256,10628.7,21733.956
826,United Kingdom,2072,14-Oct,10,5,1958.152,1866.423,3824.575
840,United States of America,2072,14-Oct,10,5,11146.466,10670.569,21817.035
826,United Kingdom,2073,14-Oct,10,5,1954.892,1863.363,3818.255
840,United States of America,2073,14-Oct,10,5,11169.627,10692.73,21862.357
826,United Kingdom,2074,14-Oct,10,5,1950.048,1858.53,3808.578
840,United States of America,2074,14-Oct,10,5,11175.793,10696.18,21871.973
826,United Kingdom,2075,14-Oct,10,5,1944.289,1852.546,3796.835
840,United States of America,2075,14-Oct,10,5,11168.397,10684.943,21853.34
826,United Kingdom,2076,14-Oct,10,5,1947.768,1856.25,3804.018
840,United States of America,2076,14-Oct,10,5,11211.642,10730.595,21942.237
826,United Kingdom,2077,14-Oct,10,5,1949.965,1858.584,3808.549
840,United States of America,2077,14-Oct,10,5,11238.064,10758.279,21996.343
826,United Kingdom,2078,14-Oct,10,5,1950.567,1859.218,3809.785
840,United States of America,2078,14-Oct,10,5,11246.843,10766.669,22013.512
826,United Kingdom,2079,14-Oct,10,5,1949.496,1858.027,3807.523
840,United States of America,2079,14-Oct,10,5,11238.889,10756.69,21995.579
826,United Kingdom,2080,14-Oct,10,5,1947.126,1855.282,3802.408
840,United States of America,2080,14-Oct,10,5,11217.459,10732.123,21949.582
826,United Kingdom,2081,14-Oct,10,5,1953.594,1861.848,3815.442
840,United States of America,2081,14-Oct,10,5,11247.721,10765.559,22013.28
826,United Kingdom,2082,14-Oct,10,5,1958.414,1866.735,3825.149
840,United States of America,2082,14-Oct,10,5,11262.758,10782.637,22045.395
826,United Kingdom,2083,14-Oct,10,5,1961.216,1869.489,3830.705
840,United States of America,2083,14-Oct,10,5,11261.845,10781.939,22043.784
826,United Kingdom,2084,14-Oct,10,5,1961.837,1869.869,3831.706
840,United States of America,2084,14-Oct,10,5,11246.733,10765.075,22011.808
826,United Kingdom,2085,14-Oct,10,5,1960.515,1868.044,3828.559
840,United States of America,2085,14-Oct,10,5,11221.774,10736.876,21958.65
826,United Kingdom,2086,14-Oct,10,5,1967.506,1875.147,3842.653
840,United States of America,2086,14-Oct,10,5,11252.506,10770.871,22023.377
826,United Kingdom,2087,14-Oct,10,5,1972.237,1879.967,3852.204
840,United States of America,2087,14-Oct,10,5,11272.182,10792.298,22064.48
826,United Kingdom,2088,14-Oct,10,5,1974.357,1882.065,3856.422
840,United States of America,2088,14-Oct,10,5,11279.225,10799.106,22078.331
826,United Kingdom,2089,14-Oct,10,5,1973.75,1881.257,3855.007
840,United States of America,2089,14-Oct,10,5,11273.855,10791.526,22065.381
826,United Kingdom,2090,14-Oct,10,5,1970.679,1877.771,3848.45
840,United States of America,2090,14-Oct,10,5,11259.118,10773.078,22032.196
826,United Kingdom,2091,14-Oct,10,5,1975.81,1883.066,3858.876
840,United States of America,2091,14-Oct,10,5,11302.223,10818.821,22121.044
826,United Kingdom,2092,14-Oct,10,5,1978.232,1885.64,3863.872
840,United States of America,2092,14-Oct,10,5,11334.862,10852.729,22187.591
826,United Kingdom,2093,14-Oct,10,5,1977.714,1885.207,3862.921
840,United States of America,2093,14-Oct,10,5,11354.246,10871.391,22225.637
826,United Kingdom,2094,14-Oct,10,5,1974.358,1881.8,3856.158
840,United States of America,2094,14-Oct,10,5,11359.522,10873.945,22233.467
826,United Kingdom,2095,14-Oct,10,5,1968.643,1875.835,3844.478
840,United States of America,2095,14-Oct,10,5,11353.239,10863.525,22216.764
826,United Kingdom,2096,14-Oct,10,5,1971.722,1879.173,3850.895
840,United States of America,2096,14-Oct,10,5,11403.931,10916.165,22320.096
826,United Kingdom,2097,14-Oct,10,5,1972.247,1879.963,3852.21
840,United States of America,2097,14-Oct,10,5,11440.969,10953.916,22394.885
826,United Kingdom,2098,14-Oct,10,5,1969.991,1877.886,3847.877
840,United States of America,2098,14-Oct,10,5,11462.73,10974.648,22437.378
826,United Kingdom,2099,14-Oct,10,5,1965.056,1872.968,3838.024
840,United States of America,2099,14-Oct,10,5,11469.677,10978.876,22448.553
826,United Kingdom,2100,14-Oct,10,5,1957.966,1865.692,3823.658
840,United States of America,2100,14-Oct,10,5,11464.772,10970.192,22434.964
826,United Kingdom,2100,15-19,15,5,2011.684,1919.04,3930.724
840,United States of America,2100,15-19,15,5,11630.805,11173.567,22804.372
826,United Kingdom,2099,15-19,15,5,2018.186,1925.82,3944.006
840,United States of America,2099,15-19,15,5,11639.789,11185.128,22824.917
826,United Kingdom,2098,15-19,15,5,2021.445,1929.153,3950.598
840,United States of America,2098,15-19,15,5,11632.752,11179.456,22812.208
826,United Kingdom,2097,15-19,15,5,2021.44,1929.064,3950.504
840,United States of America,2097,15-19,15,5,11610.411,11157.637,22768.048
826,United Kingdom,2096,15-19,15,5,2018.526,1925.977,3944.503
840,United States of America,2096,15-19,15,5,11576.02,11123.124,22699.144
826,United Kingdom,2095,15-19,15,5,2013.679,1920.959,3934.638
840,United States of America,2095,15-19,15,5,11536.39,11082.929,22619.319
826,United Kingdom,2094,15-19,15,5,2017.504,1925.164,3942.668
840,United States of America,2094,15-19,15,5,11555.118,11104.224,22659.342
826,United Kingdom,2093,15-19,15,5,2018.012,1925.841,3943.853
840,United States of America,2093,15-19,15,5,11559.377,11109.5,22668.877
826,United Kingdom,2092,15-19,15,5,2015.363,1923.218,3938.581
840,United States of America,2092,15-19,15,5,11548.962,11098.975,22647.937
826,United Kingdom,2091,15-19,15,5,2010.141,1917.942,3928.083
840,United States of America,2091,15-19,15,5,11526.487,11075.579,22602.066
826,United Kingdom,2090,15-19,15,5,2003.477,1911.194,3914.671
840,United States of America,2090,15-19,15,5,11498.73,11046.416,22545.146
826,United Kingdom,2089,15-19,15,5,2005.498,1913.737,3919.235
840,United States of America,2089,15-19,15,5,11526.952,11076.802,22603.754
826,United Kingdom,2088,15-19,15,5,2004.711,1913.228,3917.939
840,United States of America,2088,15-19,15,5,11539.887,11090.332,22630.219
826,United Kingdom,2087,15-19,15,5,2001.357,1909.946,3911.303
840,United States of America,2087,15-19,15,5,11537.105,11087.135,22624.24
826,United Kingdom,2086,15-19,15,5,1996.085,1904.596,3900.681
840,United States of America,2086,15-19,15,5,11520.043,11068.979,22589.022
826,United Kingdom,2085,15-19,15,5,1990.052,1898.417,3888.469
840,United States of America,2085,15-19,15,5,11494.081,11041.451,22535.532
826,United Kingdom,2084,15-19,15,5,1992.991,1901.828,3894.819
840,United States of America,2084,15-19,15,5,11518.993,11068.743,22587.736
826,United Kingdom,2083,15-19,15,5,1993.797,1902.791,3896.588
840,United States of America,2083,15-19,15,5,11525.234,11075.976,22601.21
826,United Kingdom,2082,15-19,15,5,1992.656,1901.578,3894.234
840,United States of America,2082,15-19,15,5,11512.694,11063.487,22576.181
826,United Kingdom,2081,15-19,15,5,1990.113,1898.825,3888.938
840,United States of America,2081,15-19,15,5,11483.779,11033.997,22517.776
826,United Kingdom,2080,15-19,15,5,1987.198,1895.643,3882.841
840,United States of America,2080,15-19,15,5,11444.712,10994.071,22438.783
826,United Kingdom,2079,15-19,15,5,1993.497,1902.191,3895.688
840,United States of America,2079,15-19,15,5,11455.6,11007.689,22463.289
826,United Kingdom,2078,15-19,15,5,1998.035,1906.697,3904.732
840,United States of America,2078,15-19,15,5,11447.77,11001.367,22449.137
826,United Kingdom,2077,15-19,15,5,2000.759,1909.213,3909.972
840,United States of America,2077,15-19,15,5,11421.057,10975.413,22396.47
826,United Kingdom,2076,15-19,15,5,2001.888,1910.022,3911.91
840,United States of America,2076,15-19,15,5,11377.487,10932.109,22309.596
826,United Kingdom,2075,15-19,15,5,2002.207,1909.929,3912.136
840,United States of America,2075,15-19,15,5,11323.119,10877.689,22200.808
826,United Kingdom,2074,15-19,15,5,2011.328,1919.166,3930.494
840,United States of America,2074,15-19,15,5,11318.509,10876.586,22195.095
826,United Kingdom,2073,15-19,15,5,2018.207,1925.923,3944.13
840,United States of America,2073,15-19,15,5,11295.676,10856.019,22151.695
826,United Kingdom,2072,15-19,15,5,2022.761,1930.178,3952.939
840,United States of America,2072,15-19,15,5,11255.943,10817.643,22073.586
