column1,column2,column3,column4,column5,column6,column7,column8,column9
LocID,Location,Time,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
840,United States of America,1959,9-May,5,5,9695.296,9295.068,18990.364
826,United Kingdom,1958,9-May,5,5,2094.254,1991.691,4085.945
840,United States of America,1958,9-May,5,5,9539.545,9139.98,18679.525
826,United Kingdom,1957,9-May,5,5,2173.913,2068.093,4242.006
840,United States of America,1957,9-May,5,5,9345.877,8948.239,18294.116
826,United Kingdom,1956,9-May,5,5,2207.959,2102.603,4310.562
840,United States of America,1956,9-May,5,5,9096.113,8701.55,17797.663
826,United Kingdom,1955,9-May,5,5,2189.118,2088.303,4277.421
840,United States of America,1955,9-May,5,5,8795.023,8402.276,17197.299
826,United Kingdom,1954,9-May,5,5,2139.655,2046.212,4185.867
840,United States of America,1954,9-May,5,5,8465.005,8080.943,16545.948
826,United Kingdom,1953,9-May,5,5,2060.118,1975.844,4035.962
840,United States of America,1953,9-May,5,5,8099.131,7729.424,15828.555
826,United Kingdom,1952,9-May,5,5,1974.72,1898.082,3872.802
840,United States of America,1952,9-May,5,5,7722.773,7373.722,15096.495
826,United Kingdom,1951,9-May,5,5,1902.73,1829.247,3731.977
840,United States of America,1951,9-May,5,5,7361.955,7037.316,14399.271
826,United Kingdom,1950,9-May,5,5,1858.754,1780.98,3639.734
840,United States of America,1950,9-May,5,5,7044.163,6740.604,13784.767
826,United Kingdom,1950,14-Oct,10,5,1705.387,1649.771,3355.158
840,United States of America,1950,14-Oct,10,5,5889.578,5684.493,11574.071
826,United Kingdom,1951,14-Oct,10,5,1718.497,1660.725,3379.222
840,United States of America,1951,14-Oct,10,5,6012.391,5814.597,11826.988
826,United Kingdom,1952,14-Oct,10,5,1735.412,1680.977,3416.389
840,United States of America,1952,14-Oct,10,5,6213.933,6000.98,12214.913
826,United Kingdom,1953,14-Oct,10,5,1754.9,1704.037,3458.937
840,United States of America,1953,14-Oct,10,5,6478.365,6232.844,12711.209
826,United Kingdom,1954,14-Oct,10,5,1785.661,1734.212,3519.873
840,United States of America,1954,14-Oct,10,5,6789.336,6501.333,13290.669
826,United Kingdom,1955,14-Oct,10,5,1836.584,1779.459,3616.043
840,United States of America,1955,14-Oct,10,5,7133.059,6800.686,13933.745
826,United Kingdom,1956,14-Oct,10,5,1911.299,1847.308,3758.607
840,United States of America,1956,14-Oct,10,5,7447.018,7109.626,14556.644
826,United Kingdom,1957,14-Oct,10,5,1995.061,1923.023,3918.084
840,United States of America,1957,14-Oct,10,5,7781.341,7439.959,15221.3
826,United Kingdom,1958,14-Oct,10,5,2082.471,2000.835,4083.306
840,United States of America,1958,14-Oct,10,5,8139.579,7790.098,15929.677
826,United Kingdom,1959,14-Oct,10,5,2152.559,2060.816,4213.375
840,United States of America,1959,14-Oct,10,5,8501.552,8137.271,16638.823
826,United Kingdom,1960,14-Oct,10,5,2181.823,2081.564,4263.387
840,United States of America,1960,14-Oct,10,5,8834.697,8450.744,17285.441
826,United Kingdom,1961,14-Oct,10,5,2162.236,2060.188,4222.424
840,United States of America,1961,14-Oct,10,5,9110.072,8724.759,17834.831
826,United Kingdom,1962,14-Oct,10,5,2109.976,2007.844,4117.82
840,United States of America,1962,14-Oct,10,5,9344.539,8952.128,18296.667
826,United Kingdom,1963,14-Oct,10,5,2037.402,1936.379,3973.781
840,United States of America,1963,14-Oct,10,5,9546.801,9143.393,18690.194
826,United Kingdom,1964,14-Oct,10,5,1971.582,1870.842,3842.424
840,United States of America,1964,14-Oct,10,5,9738.216,9320.26,19058.476
826,United Kingdom,1965,14-Oct,10,5,1936.794,1833.384,3770.178
840,United States of America,1965,14-Oct,10,5,9936.045,9500.795,19436.84
826,United Kingdom,1966,14-Oct,10,5,1931.252,1825.008,3756.26
840,United States of America,1966,14-Oct,10,5,10141.864,9696.754,19838.618
826,United Kingdom,1967,14-Oct,10,5,1951.218,1839.307,3790.525
840,United States of America,1967,14-Oct,10,5,10344.98,9883.139,20228.119
826,United Kingdom,1968,14-Oct,10,5,1989.777,1870.593,3860.37
840,United States of America,1968,14-Oct,10,5,10521.656,10050.848,20572.504
826,United Kingdom,1969,14-Oct,10,5,2037.832,1911.691,3949.523
840,United States of America,1969,14-Oct,10,5,10656.912,10180.515,20837.427
826,United Kingdom,1970,14-Oct,10,5,2091.167,1960.28,4051.447
840,United States of America,1970,14-Oct,10,5,10747.638,10255.726,21003.364
826,United Kingdom,1971,14-Oct,10,5,2152.754,2029.001,4181.755
840,United States of America,1971,14-Oct,10,5,10782.67,10299.59,21082.26
826,United Kingdom,1972,14-Oct,10,5,2223.181,2105.07,4328.251
840,United States of America,1972,14-Oct,10,5,10769.684,10287.391,21057.075
826,United Kingdom,1973,14-Oct,10,5,2298.025,2181.771,4479.796
840,United States of America,1973,14-Oct,10,5,10716.117,10229.993,20946.11
826,United Kingdom,1974,14-Oct,10,5,2365.547,2246.932,4612.479
840,United States of America,1974,14-Oct,10,5,10619.781,10133.431,20753.212
826,United Kingdom,1975,14-Oct,10,5,2412.899,2289.041,4701.94
840,United States of America,1975,14-Oct,10,5,10469.513,9994.424,20463.937
826,United Kingdom,1976,14-Oct,10,5,2440.613,2316.25,4756.863
840,United States of America,1976,14-Oct,10,5,10345.629,9814.385,20160.014
826,United Kingdom,1977,14-Oct,10,5,2444.45,2320.439,4764.889
840,United States of America,1977,14-Oct,10,5,10191.333,9600.031,19791.364
826,United Kingdom,1978,14-Oct,10,5,2427.689,2304.416,4732.105
840,United States of America,1978,14-Oct,10,5,10015.746,9363.53,19379.276
